city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
nola,cf,3,3,68,99,92,2
karaidel,ru,55,55,21,82,0,7
la baneza,es,42,42,37,93,88,8
novomykolayivka,ua,48,48,53,99,92,3
annau,tm,37,37,48,76,75,2
butterworth,za,5,5,86,70,75,6
chik,ru,54,54,35,74,75,17
maksatikha,ru,57,57,20,87,0,13
heihe,cn,50,50,33,59,20,13
jerome,us,34,34,57,36,1,8
felipe carrillo puerto,mx,19,19,74,92,68,3
gorodishche,ru,53,53,26,84,92,6
shimonoseki,jp,33,33,63,55,75,16
alur,in,17,17,72,47,0,7
volokolamsk,ru,56,56,28,78,68,18
rakaia,nz,-43,-43,51,76,92,25
chitipa,mw,-9,-9,60,67,12,7
peace river,ca,56,56,33,80,40,9
onguday,ru,50,50,31,68,92,3
hollins,us,37,37,42,63,40,9
zhirnovsk,ru,50,50,32,100,92,16
san carlos del zulia,ve,9,9,79,94,8,2
marsh harbour,bs,26,26,77,100,0,10
delvine,al,39,39,71,68,20,14
eregli,tr,37,37,33,71,0,2
kalevala,ru,64,64,19,100,56,4
matelica,it,43,43,51,81,44,10
vitre,fr,48,48,41,93,0,3
thunder bay,ca,48,48,41,100,90,4
lauria,it,40,40,55,82,0,7
hof,no,50,50,53,100,1,3
zhmerynka,ua,49,49,46,80,0,6
trofors,no,65,65,33,55,48,13
alamor,ec,-4,-4,89,33,75,3
sobinka,ru,55,55,22,79,0,10
san quintin,mx,17,17,78,83,90,13
adeje,es,5,5,72,100,88,3
gori,ge,41,41,27,71,0,1
kocser,hu,47,47,66,56,0,16
chulman,ru,56,56,21,71,0,2
otradnoye,ru,59,59,24,85,0,11
janfida,am,40,40,35,93,0,2
sahuaripa,mx,29,29,62,86,0,1
carballo,es,43,43,48,87,92,8
bozuyuk,tr,39,39,36,79,0,2
enshi,cn,30,30,64,72,48,3
karaj,ir,35,35,47,70,20,4
besancon,fr,47,47,36,93,90,18
borovskoy,kz,53,53,28,85,80,11
morondava,mg,-20,-20,69,100,0,5
madras,in,44,44,46,65,75,8
tulum,mx,20,20,78,69,75,8
coihueco,cl,-36,-36,57,93,75,6
cabra,ph,37,37,44,81,0,1
laredo,pe,27,27,76,76,75,10
touros,br,-5,-5,79,86,100,11
pierre,us,44,44,53,56,90,17
antalaha,mg,-14,-14,72,99,76,2
nangomba,tz,-10,-10,64,91,8,4
egersund,no,58,58,37,59,0,8
aksum,et,14,14,45,80,0,2
lobito,ao,-12,-12,69,95,56,2
aras,no,14,14,38,82,0,4
dutlwe,bw,-23,-23,64,40,0,12
fitionesti,ro,45,45,50,81,20,2
susehri,tr,40,40,27,70,0,2
jaciara,br,-15,-15,74,91,8,2
mtwango,tz,-9,-9,56,86,8,7
dzaoudzi,yt,-12,-12,71,83,20,3
ghanzi,bw,-21,-21,62,34,0,9
hovorany,cz,48,48,63,63,0,17
tizimin,mx,21,21,76,66,88,6
sennoy,ru,52,52,29,85,92,11
sucre,co,-19,-19,44,82,0,2
poirino,it,44,44,50,87,75,10
vikhorevka,ru,56,56,26,79,20,5
leshukonskoye,ru,64,64,29,83,76,9
pata,ws,48,48,65,59,92,26
mwandiga,tz,-4,-4,75,100,76,5
witbank,za,-25,-25,61,63,0,8
frutal,br,-20,-20,73,58,8,8
